Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,27.8475,27.860001,26.8375,27.3325,24.466448,212818400
1/5/2015,27.0725,27.1625,26.352501,26.5625,23.777195,257142000
1/6/2015,26.635,26.8575,26.157499,26.565001,23.779425,263188400
1/7/2015,26.799999,27.049999,26.674999,26.9375,24.112869,160423600
1/8/2015,27.307501,28.0375,27.174999,27.9725,25.039341,237458000
1/9/2015,28.1675,28.3125,27.5525,28.002501,25.0662,214798000
1/12/2015,28.15,28.157499,27.200001,27.3125,24.448544,198603200
1/13/2015,27.8575,28.200001,27.227501,27.555,24.665623,268367600
1/14/2015,27.26,27.622499,27.125,27.450001,24.571627,195826400
1/15/2015,27.5,27.514999,26.665001,26.705,23.904743,240056000
1/16/2015,26.7575,26.895,26.299999,26.497499,23.719002,314053200
1/20/2015,26.959999,27.2425,26.625,27.18,24.329937,199599600
1/21/2015,27.237499,27.764999,27.067499,27.387501,24.515684,194303600
1/22/2015,27.565001,28.1175,27.43,28.1,25.153469,215185600
1/23/2015,28.075001,28.4375,27.8825,28.245001,25.283268,185859200
1/26/2015,28.434999,28.59,28.200001,28.275,25.310118,222460000
1/27/2015,28.105,28.120001,27.2575,27.285,24.423931,382274800
1/28/2015,29.407499,29.530001,28.827499,28.827499,25.804686,585908400
1/29/2015,29.08,29.797501,28.889999,29.725,26.608072,337745600
1/30/2015,29.6,30,29.2125,29.290001,26.218691,334982000
2/2/2015,29.512501,29.7925,29.02,29.657499,26.547653,250956400
2/3/2015,29.625,29.772499,29.4025,29.6625,26.552134,207662800
2/4/2015,29.625,30.127501,29.577499,29.889999,26.755772,280598800
2/5/2015,30.004999,30.057501,29.8125,29.985001,26.946745,168984800
2/6/2015,30.004999,30.0625,29.612499,29.7325,26.719824,174826400
2/9/2015,29.637501,29.959999,29.6075,29.93,26.897314,155559200
2/10/2015,30.0425,30.5375,30.040001,30.504999,27.414055,248034000
2/11/2015,30.692499,31.23,30.625,31.219999,28.056606,294247200
2/12/2015,31.514999,31.870001,31.3925,31.615,28.411577,297898000
2/13/2015,31.82,31.82,31.4125,31.77,28.550875,217088800
2/17/2015,31.872499,32.220001,31.73,31.9575,28.719376,252609600
2/18/2015,31.907499,32.195,31.862499,32.18,28.919336,179566800
2/19/2015,32.119999,32.2575,32.0825,32.112499,28.858667,149449600
2/20/2015,32.154999,32.375,32.012501,32.375,29.09457,195793600
2/23/2015,32.505001,33.25,32.415001,33.25,29.88092,283896400
2/24/2015,33.235001,33.400002,32.7925,33.0425,29.694439,276912400
2/25/2015,32.889999,32.900002,32.037498,32.197498,28.935061,298846800
2/26/2015,32.197498,32.717499,31.6525,32.605,29.30127,365150000
2/27/2015,32.5,32.642502,32.060001,32.115002,28.86092,248059200
3/2/2015,32.3125,32.57,32.075001,32.272499,29.002455,192386800
3/3/2015,32.240002,32.380001,32.022499,32.34,29.06312,151265200
3/4/2015,32.275002,32.389999,32.080002,32.134998,28.878889,126665200
3/5/2015,32.145,32.1875,31.440001,31.602501,28.400349,226068400
3/6/2015,32.099998,32.342499,31.565001,31.65,28.443031,291368400
3/9/2015,31.99,32.392502,31.264999,31.785,28.564354,354114000
3/10/2015,31.602501,31.805,30.950001,31.127501,27.973482,275426400
3/11/2015,31.1875,31.192499,30.5275,30.559999,27.46348,275756000
3/12/2015,30.577499,31.225,30.407499,31.112499,27.95999,193450800
3/13/2015,31.1,31.35,30.645,30.897499,27.766783,207309200
3/16/2015,30.969999,31.237499,30.717501,31.237499,28.072329,143497200
3/17/2015,31.475,31.83,31.4125,31.76,28.541895,204092400
3/18/2015,31.75,32.290001,31.592501,32.1175,28.863173,261083600
3/19/2015,32.1875,32.3125,31.85,31.875,28.645237,183238000
3/20/2015,32.0625,32.099998,31.290001,31.475,28.285769,274780400
3/23/2015,31.780001,31.9625,31.629999,31.8025,28.58008,150838800
3/24/2015,31.807501,32.009998,31.639999,31.672501,28.463257,131369200
3/25/2015,31.635,31.705,30.844999,30.844999,27.719601,206620800
3/26/2015,30.690001,31.219999,30.65,31.059999,27.912809,190291600
3/27/2015,31.1425,31.174999,30.727501,30.8125,27.690388,158184800
3/30/2015,31.012501,31.6,31,31.592501,28.391363,188398800
3/31/2015,31.522499,31.622499,31.09,31.1075,27.955503,168362400
4/1/2015,31.205,31.280001,30.775,31.0625,27.915058,162485600
4/2/2015,31.2575,31.389999,31.047501,31.33,28.155458,128880400
4/6/2015,31.1175,31.877501,31.0825,31.8375,28.61153,148776000
4/7/2015,31.91,32.029999,31.495001,31.502501,28.310482,140049200
4/8/2015,31.4625,31.6,31.2425,31.4,28.218361,149316800
4/9/2015,31.4625,31.645,31.165001,31.639999,28.434046,129936000
4/10/2015,31.487499,31.8025,31.315001,31.775,28.55537,160752000
4/13/2015,32.092499,32.142502,31.6525,31.7125,28.499205,145460400
4/14/2015,31.75,31.8225,31.477501,31.575001,28.375629,102098400
4/15/2015,31.602501,31.782499,31.502501,31.695,28.483469,115881600
4/16/2015,31.57,31.775,31.5275,31.5425,28.34642,113476000
4/17/2015,31.387501,31.535,31.115,31.1875,28.027399,207828000
4/20/2015,31.3925,32.029999,31.2925,31.9,28.6677,188217200
4/21/2015,32.025002,32.049999,31.6675,31.727501,28.512682,129740400
4/22/2015,31.747499,32.217499,31.58,32.154999,28.89686,150618000
4/23/2015,32.075001,32.605,32.035,32.4175,29.132767,183083600
4/24/2015,32.622501,32.657501,32.307499,32.57,29.269814,178103600
4/27/2015,33.077499,33.282501,32.787498,33.162498,29.802277,387816800
4/28/2015,33.615002,33.634998,32.392502,32.639999,29.332722,475696000
4/29/2015,32.540001,32.897499,32.075001,32.16,28.90136,253544400
